revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
48.82,10,3,26,780,0,0,0,0,1,4,1
83.53,20,1,31,745,1,0,0,0,0,4,1
29.99,0,0,52,1441,0,0,0,1,1,3,1
51.42,0,0,36,59,1,0,0,0,0,4,1
37.75,2.67,0,25,572,0,0,0,1,1,3,1
5,0,0,26,785,1,0,0,0,1,3,1
5.25,0,0,45,1354,0,0,0,0,0,2,1
26.84,4,1.33,49,1471,0,1,0,1,1,2,1
42.71,8.67,0,27,224,1,0,0,0,0,3,1
53.69,15,2.33,23,267,1,0,0,0,1,3,1
33.66,8.33,0,31,933,1,0,0,0,0,2,1
52.56,80,31.67,33,402,1,0,0,0,1,3,1
22.5,8.67,2.67,37,243,1,0,0,0,0,3,1
98.47,24.67,3.33,35,13,0,0,1,1,1,3,1
7.82,0,0,24,561,0,0,0,0,0,2,1
25.14,15,1,25,743,1,0,0,0,0,2,1
131.09,76.67,7,25,740,1,1,0,0,1,2,1
10,0,0,54,1636,0,1,0,0,1,1,1
5,0,0,53,1584,0,1,1,1,1,1,1
30.69,1.33,0,25,709,1,0,0,0,1,2,1
49.16,8.67,0,47,1434,0,1,0,0,1,1,1
69.11,18,2.67,48,1430,0,0,0,0,1,1,1
36.16,59.67,13,25,733,1,1,0,0,1,2,1
40.07,3.67,0,42,1278,0,0,0,0,0,1,1
51.22,1,0.33,44,1346,0,1,0,0,1,1,1
37.49,8,0.33,40,1209,0,0,0,0,0,1,1
84.92,67,0.33,15,451,1,1,0,0,1,2,1
12.21,0,0,35,540,0,1,0,0,1,2,1
170.92,35,0.33,10,302,1,1,0,0,1,2,1
15,1,0.33,14,408,1,0,0,0,0,2,1
199,88.67,40,19,368,1,0,0,0,0,2,1
16.14,0,0,44,1324,0,0,0,0,1,1,1
61.72,19.33,39,16,464,1,0,0,0,0,2,1
150,1.67,1,11,295,1,0,0,1,1,2,1
113.78,14,0,12,341,1,0,0,0,1,2,1
71.38,0.33,0,27,345,0,1,0,0,1,2,1
89.58,18.67,12,14,417,1,0,0,0,1,2,1
37.49,18,33.67,32,718,1,1,0,0,1,2,1
121.87,26.33,6.67,11,314,1,1,0,0,1,2,1
15.33,3,1.67,41,1242,0,1,1,0,1,1,1
30.54,1,0,40,1205,0,1,0,0,1,1,1
80.94,87.67,46.67,13,386,1,0,0,0,0,2,1
393.09,141.33,60,14,95,1,0,0,0,0,2,1
58.27,4.33,0.67,37,1138,0,0,0,0,1,1,1
33.99,10.67,1.33,14,406,1,0,0,0,1,2,1
75.18,40,16,34,1030,0,0,0,0,0,1,1
200.17,51.67,17,26,805,0,1,0,0,0,1,1
70.85,111.33,1,8,189,1,0,0,0,0,2,1
22.76,0.33,0,39,1179,0,0,0,1,1,1,1
73.55,18.33,1.33,14,242,1,0,0,0,0,2,1
31.53,2.67,0,39,1165,0,0,0,0,1,1,1
29.39,7.67,3,13,377,1,0,0,0,1,2,1
28.87,0.33,0,6,184,1,1,0,0,0,2,1
22.74,16,7.33,13,386,1,0,0,0,1,2,1
25.75,1,0,42,1272,1,0,0,0,0,1,1
23.12,7,0.33,38,1144,0,0,0,0,1,1,1
5,0,0,43,1301,1,0,0,0,0,1,1
20.07,0,0,38,1142,0,1,0,0,1,1,1
48.53,0,0,10,297,1,1,0,0,1,2,1
35.8,0,0,22,239,0,0,0,0,1,2,1
85.44,0.67,0.67,34,1022,0,0,0,1,1,1,1
19.59,0,0,37,1117,0,0,0,1,1,1,1
36.44,14.33,2.67,15,255,1,0,0,0,0,2,1
78.43,39.67,3,23,396,1,0,0,0,1,2,1
10.25,2.67,1,12,344,1,0,0,0,1,2,1
163.97,59.67,8.33,17,238,1,1,0,0,1,2,1
74.82,10.33,1,11,139,1,0,0,0,0,2,1
24.45,1.33,0,36,1073,0,0,0,0,1,1,1
5,0,0,36,1091,0,0,0,0,1,1,1
22.54,0,0,35,1061,0,1,0,0,1,1,1
56.63,13,1.33,21,259,1,0,0,0,0,2,1
110.89,5,0,8,60,1,0,0,0,0,2,1
23.12,2.33,4,36,1081,0,1,0,0,1,1,1
37.75,3.67,0,29,872,0,0,0,0,0,1,1
55.39,4,0,33,990,0,1,0,0,1,1,1
7.75,0,0,36,1072,0,0,0,1,1,1,1
29.99,0,0,34,1022,0,1,0,1,1,1,1
91.52,35.33,12,28,822,0,0,0,0,0,1,1
70.89,29.33,7.33,39,943,0,0,0,0,0,1,1
13.25,0,0,28,865,0,0,0,0,0,1,1
35.24,17,2,14,278,1,1,0,0,1,2,1
30,0.67,0,32,983,0,0,0,0,1,1,1
46.95,24,0.67,34,981,0,1,0,1,1,1,1
75.84,19.67,7.33,12,220,1,1,0,0,1,2,1
243.49,21.33,4.67,33,960,1,0,0,0,1,1,1
70.53,42.33,21.67,28,324,1,0,0,0,0,2,1
30.24,2.33,0,32,955,0,0,0,1,1,1,1
26.66,8.67,0.67,37,1102,1,0,0,0,0,1,1
46.14,13,3.67,25,768,0,0,0,0,0,1,1
34.22,4.33,0,33,953,0,1,0,1,1,1,1
41.31,1,0,31,922,0,0,0,0,1,1,1
19.39,3,0,14,146,1,0,0,0,0,2,1
58.16,15.33,2.33,25,738,0,0,0,0,0,1,1
4.8,0,0,26,794,0,0,0,0,0,1,1
184.75,144.33,56.67,11,194,1,0,0,0,1,2,1
36.75,0,0,29,889,0,1,0,0,1,1,1
97.6,22.33,2.67,22,655,0,0,0,0,0,1,1
67.41,15.33,0.67,21,247,1,1,0,0,1,2,1
29.99,2.67,0.33,35,1041,1,0,0,0,0,1,1
24.99,0.67,0,34,1034,1,0,0,0,0,1,1
30.1,1.33,0,25,739,0,0,0,0,0,1,1
13.25,0,0,38,263,0,1,0,1,1,2,1
53.24,0,0,31,334,1,0,0,1,1,2,1
57.36,0,0,20,105,1,0,0,0,0,2,1
41.04,5.67,0.33,28,826,0,0,0,0,1,1,1
46.57,7,3,26,285,1,0,0,0,1,2,1
64.4,13.67,3.33,22,119,1,0,0,0,0,2,1
132.34,77,6,18,114,1,0,0,0,1,2,1
18.63,17.67,6,24,716,0,0,0,0,0,1,1
44.72,118.33,70.33,28,403,1,0,0,0,0,2,1
16.99,0,0,29,853,0,0,0,1,1,1,1
34.09,1.33,0,21,648,0,1,0,0,0,1,1
53.38,19.33,15.67,39,961,0,1,0,1,1,1,1
41.75,7.33,0,36,1088,1,1,0,0,1,1,1
38.99,1.67,0,27,801,0,0,0,0,1,1,1
10,0,0,45,1009,0,1,0,1,1,1,1
36.16,0,0,36,1080,1,0,0,0,1,1,1
54.48,17.33,3,21,617,0,0,0,0,0,1,1
95.49,13.67,3,16,-2,1,0,0,0,0,2,1
30.09,1.67,0,36,1084,1,0,0,0,1,1,1
6.5,0,0,28,832,0,0,0,1,1,1,1
44.09,1.67,0.33,30,902,1,0,0,0,0,1,1
31.24,0,0,9,86,1,1,0,0,1,2,1
34.65,14.67,0,31,913,1,0,0,0,0,1,1
111.7,57,4.67,53,1592,0,0,0,0,0,0,1
88.15,37.33,16.33,13,98,1,0,0,0,1,2,1
53.43,13.67,0,28,852,1,0,0,0,0,1,1
50.44,17.67,12.67,35,773,0,0,0,0,0,1,1
34.22,17.33,4.33,26,773,0,1,0,0,1,1,1
30.01,4,0.67,25,755,0,1,0,0,1,1,1
38.74,4,0,24,732,0,0,0,0,1,1,1
52.55,14.33,0,28,839,1,0,0,0,0,1,1
30.71,6,0,24,727,0,0,0,0,1,1,1
30.98,4,0.33,23,196,1,0,0,0,1,2,1
29.99,0,0,12,82,1,0,0,0,1,2,1
41.29,3.67,0.67,12,68,1,0,0,0,1,2,1
50.94,5.67,2.33,23,173,1,0,0,0,1,2,1
50,6,0.67,23,689,0,1,0,0,1,1,1
25.17,9.67,0.33,34,1022,1,1,0,0,1,1,1
35.36,3.33,0.67,29,143,1,0,0,0,0,2,1
88.06,8.67,0,15,39,1,0,0,0,1,2,1
35.78,15.67,7.33,29,871,1,0,0,0,0,1,1
295.52,11,0.67,14,412,1,0,0,0,0,1,1
154.07,0.33,0,27,800,1,0,0,0,1,1,1
15,0.33,2,34,1023,1,1,0,0,1,1,1
29.99,7,0,27,822,1,0,0,0,0,1,1
36.4,12.67,12.33,30,883,1,0,0,0,0,1,1
90.61,19.33,15,54,1599,0,0,0,0,0,0,1
37.27,27.33,3,18,532,0,0,0,0,0,1,1
30.25,2,0,21,561,0,0,0,0,0,1,1
288.21,81.67,15.33,15,455,1,0,0,0,0,1,1
6.49,4.67,2,24,722,0,0,0,1,1,1,1
33.59,10,1,23,678,0,0,0,0,1,1,1
56.28,3.33,0,51,1548,0,0,0,0,0,0,1
116.03,9.33,0.33,27,816,1,0,0,1,1,1,1
30,4,0,23,672,0,0,0,0,1,1,1
15.27,2.33,9.33,19,572,0,0,0,0,0,1,1
42.24,10.33,7.67,27,811,1,0,0,0,0,1,1
80.26,17,3.33,50,1515,0,0,0,0,0,0,1
15,2.33,1,22,675,0,1,0,0,1,1,1
19.27,31,7.33,15,96,1,1,0,0,1,2,1
19.6,1.33,0.33,23,678,0,0,0,1,1,1,1
68.6,20.33,0,30,884,1,0,0,0,1,1,1
62.53,19.33,1,25,737,1,0,0,0,0,1,1
63.5,28.33,12.33,31,933,1,1,0,0,1,1,1
60.29,15,1.67,20,596,0,1,0,0,1,1,1
43.57,27,6.33,26,780,1,1,0,0,0,1,1
63.74,48.33,11.33,21,630,0,0,0,1,1,1,1
147.59,53,21.33,25,88,1,0,0,0,1,2,1
58.49,41,23,39,855,0,0,0,0,1,1,1
50.49,21.67,4.67,56,1698,0,1,0,0,1,0,1
15.68,0.33,0,22,649,0,1,0,0,1,1,1
14.19,0,0,32,232,1,0,0,0,1,2,1
30.49,3.67,0.33,52,1554,0,0,0,0,0,0,1
4.84,0,0,21,643,0,1,0,0,1,1,1
186.17,36,1.33,17,498,1,0,0,0,0,1,1
24.39,6,0.33,13,13,1,1,0,0,1,2,1
41.54,18.67,4.67,24,731,1,0,0,0,0,1,1
36.25,0,0,51,1523,0,0,0,0,0,0,1
30,0,0,55,1669,0,1,0,0,1,0,1
30.38,3.33,0,29,877,1,1,0,1,1,1,1
60,0,0,49,1470,0,0,0,0,0,0,1
41.33,2.33,0,23,699,1,0,0,0,0,1,1
47.92,2,0.33,22,680,1,0,0,0,0,1,1
102.82,1,0,40,91,1,0,0,0,0,2,1
22.49,7,0.67,24,726,1,0,0,0,0,1,1
45.39,12.67,1.67,34,195,1,1,0,1,1,2,1
26.33,7,2.33,28,862,1,1,0,0,1,1,1
40,0.33,0,48,1462,0,0,0,0,0,0,1
45.48,17,7,21,483,0,1,0,1,0,1,1
16.14,0,0,55,1661,0,1,1,1,1,0,1
30.27,17.67,37,19,566,0,0,0,0,0,1,1
17.81,0.33,0,28,856,1,1,0,0,1,1,1
51.33,3.33,0,22,654,1,0,0,0,0,1,1
30.73,7,0,24,604,0,1,0,0,1,1,1
94.97,59.67,16.67,24,63,1,0,0,0,1,2,1
5,0,0,28,865,1,1,0,1,1,1,1
46.96,25.33,9,23,692,1,0,0,0,0,1,1
53.43,0.33,0,53,1592,0,1,0,1,1,0,1
170.76,90.33,7.33,15,469,1,0,0,0,0,1,1
33.24,3.33,0,28,833,1,1,1,1,1,1,1
32.53,3.33,3.33,27,832,1,0,0,0,1,1,1
29.99,2.33,0.33,18,538,0,1,0,0,1,1,1
39.59,17.33,8.33,29,664,0,1,0,0,1,1,1
62.98,7.67,0.67,21,622,1,0,0,0,0,1,1
90.25,8.33,7.33,54,1475,0,0,0,0,0,0,1
10.68,0,0,19,564,0,0,0,1,1,1,1
51.14,7.33,1.33,53,1590,0,0,0,0,1,0,1
58.6,5,0,21,622,1,0,0,0,0,1,1
5.05,0,0,18,558,0,1,0,0,1,1,1
79.5,16,0.33,22,607,1,0,0,0,0,1,1
7.12,0.33,0,54,1638,0,1,0,1,1,0,1
34.63,0,0,27,805,1,0,0,0,1,1,1
23.57,10.67,0.67,28,828,1,1,0,0,1,1,1
30.2,5,6,28,837,1,0,0,0,1,1,1
65.56,4.67,0.33,25,750,1,0,0,1,1,1,1
60.2,10.67,1,19,592,1,0,0,0,0,1,1
16.25,31.67,0.33,23,679,1,0,0,0,0,1,1
150,0,0,16,458,1,0,0,0,0,1,1
47.04,1.33,0.67,25,766,1,1,0,0,1,1,1
11.68,0,0,17,524,0,1,0,0,1,1,1
35,0,0,53,1585,0,0,0,0,1,0,1
23.5,0,0,53,1595,0,1,0,1,1,0,1
33.74,0,0.33,26,784,1,0,0,0,1,1,1
29.98,0,0,27,797,1,1,0,0,1,1,1
19.05,1.67,0,52,1588,0,0,0,0,1,0,1
53.36,21.67,7,21,627,1,0,0,0,0,1,1
52.53,31,17.67,12,373,0,0,0,0,0,1,1
38.12,3.33,0,25,760,1,1,0,1,1,1,1
102.4,23.67,0,22,658,1,0,0,0,1,1,1
2.54,0,0,53,1608,0,0,0,0,1,0,1
50,0,0,51,1535,0,0,0,0,1,0,1
10,0,0,27,809,1,0,1,0,1,1,1
135.13,25,0.33,46,1390,0,1,0,0,1,0,1
5,0,0,17,516,0,1,0,0,1,1,1
35.07,26.67,4.33,20,617,1,0,0,0,0,1,1
139.27,86,22,27,18,1,0,0,0,1,2,1
23.24,0.67,0,26,780,1,0,0,0,1,1,1
102.08,18,3.67,19,527,1,0,0,0,0,1,1
91.89,55,8.33,23,695,1,0,0,0,1,1,1
36.3,22.33,1,21,609,1,0,0,0,0,1,1
92.85,39,1,19,526,1,0,0,0,0,1,1
29.99,1.67,0,25,756,1,1,1,1,1,1,1
26.64,5.33,0,16,473,0,0,0,0,1,1,1
40.06,7.33,0.33,25,745,1,1,0,0,1,1,1
67.49,2.33,1,24,706,1,0,0,0,1,1,1
20.99,12.33,4,26,785,1,0,0,0,1,1,1
49.99,21.67,18,28,518,0,0,0,0,0,1,1
85.09,7.33,5,33,786,1,0,1,1,1,1,1
45.56,0,0,45,1356,0,0,0,0,0,0,1
26.61,6.67,0,25,750,1,1,0,1,1,1,1
78.14,43,3,23,681,1,1,0,0,1,1,1
68.6,35.67,7.67,18,546,1,0,0,0,0,1,1
53.26,5,0,23,694,1,0,0,0,1,1,1
63.48,0,0,24,500,0,0,1,1,1,1,1
33.07,7,0.67,18,561,1,0,0,0,0,1,1
28.25,8.33,0.33,25,740,1,1,0,0,1,1,1
