isbuyer	buy_freq	visit_freq	buy_interval	sv_interval	expected_time_buy	expected_time_visit	last_buy	last_visit	multiple_buy	multiple_visit	uniq_urls	num_checkins	y_buy
	0	NaN	1	0	0	0	0	106	106	0	0	169	2130	0
	0	NaN	1	0	0	0	0	72	72	0	0	154	1100	0
	0	NaN	1	0	0	0	0	5	5	0	0	4	12	0
	0	NaN	1	0	0	0	0	6	6	0	0	150	539	0
	0	NaN	2	0	.5	0	-101.1493	101	101	0	1	103	362	0
	0	NaN	1	0	0	0	0	42	42	0	0	17	35	0
	0	NaN	1	0	0	0	0	42	42	0	0	42	110	0
	0	NaN	2	0	29.79167	0	-106.1883	121	121	0	1	101	401	0
	0	NaN	3	0	45.47917	0	-34.14473	64	64	0	1	100	298	0
	0	NaN	1	0	0	0	0	13	13	0	0	53	247	0
	1	1	2	0	.9583333	0	-20.6712	21	21	0	1	65	175	0
	0	NaN	2	0	21.33333	0	-108.323	118	118	0	1	163	891	0
	0	NaN	1	0	0	0	0	151	151	0	0	24	198	0
	0	NaN	1	0	0	0	0	19	19	0	0	16	48	0
	0	NaN	1	0	0	0	0	81	81	0	0	32	177	0
	0	NaN	1	0	0	0	0	68	68	0	0	64	305	0
	0	NaN	1	0	0	0	0	36	36	0	0	76	163	0
	0	NaN	2	0	15.95833	0	-6.683471	14	14	0	1	101	1105	0
	0	NaN	1	0	0	0	0	19	19	0	0	30	76	0
	0	NaN	1	0	0	0	0	70	70	0	0	168	1317	0
	0	NaN	2	0	27.25	0	-124.61	138	138	0	1	172	828	0
	0	NaN	2	0	133.125	0	50.47409	16	16	0	1	67	396	0
	0	NaN	3	0	8.395833	0	2.534722	3	3	0	1	146	398	0
	0	NaN	1	0	0	0	0	9	9	0	0	-1	26	0
	0	NaN	1	0	0	0	0	145	145	0	0	179	1215	0
	0	NaN	8	0	15.99405	0	12.56926	1	1	0	1	64	167	0
	0	NaN	1	0	0	0	0	39	39	0	0	165	3883	0
	0	NaN	1	0	0	0	0	34	34	0	0	96	219	0
	0	NaN	1	0	0	0	0	135	135	0	0	143	1011	0
	0	NaN	1	0	0	0	0	77	77	0	0	81	219	0
	0	NaN	3	0	.1458333	0	.0709847	0	0	0	1	13	113	0
	0	NaN	2	0	15.75	0	-32.3082	40	40	0	1	95	121	0
	0	NaN	1	0	0	0	0	152	152	0	0	93	435	0
	0	NaN	1	0	0	0	0	181	181	0	0	30	143	0
	0	NaN	2	0	34.95833	0	-55.56098	73	73	0	1	69	284	0
	0	NaN	1	0	0	0	0	20	20	0	0	3	21	0
	0	NaN	1	0	0	0	0	65	65	0	0	188	2692	0
	0	NaN	1	0	0	0	0	72	72	0	0	22	95	0
	0	NaN	1	0	0	0	0	127	127	0	0	68	823	0
	0	NaN	1	0	0	0	0	118	118	0	0	69	136	0
	0	NaN	1	0	0	0	0	13	13	0	0	26	206	0
	0	NaN	2	0	3.958333	0	-161.5957	163	163	0	1	67	321	0
	0	NaN	1	0	0	0	0	30	30	0	0	15	183	0
	0	NaN	1	0	0	0	0	1	1	0	0	37	491	0
	0	NaN	2	0	17.83333	0	-66.12279	75	75	0	1	22	109	0
	0	NaN	1	0	0	0	0	52	52	0	0	124	698	0
	0	NaN	1	0	0	0	0	146	146	0	0	206	8234	0
	0	NaN	1	0	0	0	0	66	66	0	0	87	585	0
	0	NaN	1	0	0	0	0	53	53	0	0	110	354	0
	0	NaN	3	0	26.77083	0	-96.89964	114	114	0	1	69	734	0
	0	NaN	2	0	.375	0	-1.345821	1	1	0	1	-1	359	0
	0	NaN	1	0	0	0	0	37	37	0	0	31	73	0
	0	NaN	1	0	0	0	0	1	1	0	0	120	152	0
	0	NaN	1	0	0	0	0	26	26	0	0	12	51	0
	0	NaN	3	0	5.708333	0	-13.23332	17	17	0	1	14	50	0
	0	NaN	1	0	0	0	0	87	87	0	0	84	510	0
	0	NaN	1	0	0	0	0	97	97	0	0	106	451	0
	0	NaN	1	0	0	0	0	92	92	0	0	96	436	0
	0	NaN	1	0	0	0	0	98	98	0	0	10	52	0
	0	NaN	1	0	0	0	0	77	77	0	0	57	189	0
	0	NaN	2	0	.0416667	0	-55.91903	55	55	0	1	88	302	0
	0	NaN	1	0	0	0	0	140	140	0	0	14	46	0
	0	NaN	1	0	0	0	0	161	161	0	0	79	1968	0
	0	NaN	1	0	0	0	0	164	164	0	0	165	288	0
	0	NaN	1	0	0	0	0	92	92	0	0	67	157	0
	0	NaN	1	0	0	0	0	172	172	0	0	173	1814	0
	0	NaN	1	0	0	0	0	182	182	0	0	177	614	0
	0	NaN	3	0	84.375	0	49.08807	7	7	0	1	155	3167	0
	0	NaN	1	0	0	0	0	38	38	0	0	145	735	0
	0	NaN	1	0	0	0	0	44	44	0	0	159	1684	0
	0	NaN	1	0	0	0	0	21	21	0	0	22	118	0
	0	NaN	1	0	0	0	0	23	23	0	0	43	413	0
	0	NaN	1	0	0	0	0	0	0	0	0	-1	99	0
	0	NaN	8	0	9.023809	0	-8.645671	16	16	0	1	0	712	0
	0	NaN	1	0	0	0	0	45	45	0	0	27	236	0
	0	NaN	1	0	0	0	0	11	11	0	0	33	55	0
	0	NaN	1	0	0	0	0	94	94	0	0	172	352	0
	1	1	3	0	.4375	0	-.7703708	1	1	0	1	101	395	0
	0	NaN	1	0	0	0	0	152	152	0	0	72	101	0
	0	NaN	1	0	0	0	0	12	12	0	0	115	284	0
	0	NaN	1	0	0	0	0	22	22	0	0	135	821	0
	0	NaN	3	0	15.41667	0	-9.89163	20	20	0	1	37	171	0
	0	NaN	1	0	0	0	0	13	13	0	0	25	96	0
	0	NaN	1	0	0	0	0	46	46	0	0	99	320	0
	0	NaN	1	0	0	0	0	4	4	0	0	169	815	0
	0	NaN	1	0	0	0	0	134	134	0	0	15	98	0
	0	NaN	2	0	27.29167	0	12.97609	0	0	0	1	125	1017	0
	0	NaN	2	0	26.08333	0	-45.22265	58	58	0	1	0	345	0
	0	NaN	1	0	0	0	0	138	138	0	0	175	1999	0
	0	NaN	1	0	0	0	0	168	168	0	0	164	1163	0
	0	NaN	2	0	2.833333	0	-84.58539	86	86	0	1	174	1538	0
	0	NaN	1	0	0	0	0	33	33	0	0	110	1309	0
	0	NaN	1	0	0	0	0	36	36	0	0	174	1357	0
	0	NaN	2	0	18.83333	0	1.650208	7	7	0	1	26	185	0
	0	NaN	1	0	0	0	0	86	86	0	0	171	1066	0
	0	NaN	1	0	0	0	0	118	118	0	0	115	2569	0
	0	NaN	1	0	0	0	0	4	4	0	0	9	491	0
	0	NaN	1	0	0	0	0	11	11	0	0	44	126	0
	0	NaN	1	0	0	0	0	170	170	0	0	187	1452	0
	0	NaN	2	0	92.75	0	43.58767	2	2	0	1	133	6588	0
	0	NaN	1	0	0	0	0	14	14	0	0	22	95	0
	0	NaN	1	0	0	0	0	44	44	0	0	138	192	0
	0	NaN	5	0	1.979167	0	-45.52714	47	47	0	1	164	253	0
	0	NaN	1	0	0	0	0	178	178	0	0	79	520	0
	0	NaN	1	0	0	0	0	81	81	0	0	1	9	0
	0	NaN	1	0	0	0	0	21	21	0	0	81	162	0
	0	NaN	3	0	3.0625	0	-8.559408	10	10	0	1	130	496	0
	0	NaN	1	0	0	0	0	52	52	0	0	94	1362	0
	0	NaN	2	0	8.958333	0	-58.69824	63	63	0	1	81	256	0
	0	NaN	2	0	9.083333	0	2.575404	1	1	0	1	5	326	0
	0	NaN	3	0	40.58333	0	-55.13412	82	82	0	1	25	50	0
	0	NaN	2	0	1.958333	0	-45.89526	46	46	0	1	52	375	0
	0	NaN	1	0	0	0	0	4	4	0	0	126	184	0
	0	NaN	2	0	3.083333	0	-85.97951	87	87	0	1	34	116	0
	0	NaN	1	0	0	0	0	181	181	0	0	151	371	0
	0	NaN	1	0	0	0	0	128	128	0	0	170	594	0
	0	NaN	1	0	0	0	0	22	22	0	0	43	100	0
	1	1	2	0	1.083333	0	-34.03693	34	34	0	1	0	1775	0
	0	NaN	1	0	0	0	0	10	10	0	0	-1	364	0
	0	NaN	2	0	22.66667	0	7.377708	3	3	0	1	184	1184	0
	0	NaN	3	0	59.0625	0	10.56077	28	28	0	1	83	344	0
	0	NaN	1	0	0	0	0	3	3	0	0	102	381	0
	0	NaN	1	0	0	0	0	2	2	0	0	143	398	0
	0	NaN	1	0	0	0	0	68	68	0	0	20	102	0
	0	NaN	1	0	0	0	0	112	112	0	0	180	636	0
	0	NaN	1	0	0	0	0	166	166	0	0	79	743	0
	0	NaN	1	0	0	0	0	39	39	0	0	43	109	0
	0	NaN	1	0	0	0	0	154	154	0	0	166	913	0
	0	NaN	5	0	19.75	0	-13.11425	28	28	0	1	115	3855	0
	0	NaN	1	0	0	0	0	63	63	0	0	63	536	0
