id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,fruit,len_answer,season,experience_coded,experience
1,1,0,1,0,0,0,0,3,3,3,3,2,3,3,Apples,1149,Fall,3,"2-5 years, I'm getting good at what I do!"
2,1,1,1,0,0,1,0,3,5,7,7,5,3,5,Apples,100,Winter,1,"None, I just finished my undergrad!"
3,1,0,1,0,0,1,0,2,7,7,3,5,1,4,Apples,77,Fall,1,"None, I just finished my undergrad!"
4,1,0,0,0,0,0,0,4,4,9,8,1,6,4,Apples,113,Summer,1,"None, I just finished my undergrad!"
5,1,1,0,0,0,1,0,7,8,5,5,6,5,5,Apples,639,Spring,1,"None, I just finished my undergrad!"
6,0,0,1,0,0,0,0,2,8,5,5,1,2,3,Oranges,313,Fall,4,"5+ years, I'm a veteran!"
7,1,0,1,0,0,1,0,3,6,7,5,1,9,7,Oranges,121,Fall,2,"< 2 years, I'm fresh!"
8,1,0,1,0,0,1,0,2,3,3,3,1,3,6,Oranges,726,Spring,1,"None, I just finished my undergrad!"
9,1,0,0,0,0,1,0,1,1,7,5,1,1,7,Oranges,335,Summer,1,"None, I just finished my undergrad!"
10,0,1,0,0,0,1,0,3,6,3,3,1,2,6,Apples,280,Summer,2,"< 2 years, I'm fresh!"
11,1,1,0,0,0,1,0,3,5,10,3,1,1,3,Apples,552,Summer,1,"None, I just finished my undergrad!"
12,1,1,1,0,0,1,1,7,8,9,9,7,4,7,Apples,325,Spring,1,"None, I just finished my undergrad!"
13,1,0,0,0,0,1,0,2,2,2,2,2,2,2,Apples,93,Fall,1,"None, I just finished my undergrad!"
14,0,1,0,0,0,1,0,1,5,5,4,1,1,8,Oranges,1060,Spring,3,"2-5 years, I'm getting good at what I do!"
15,1,1,1,0,1,0,0,3,5,4,2,3,4,6,Apples,2126,Summer,4,"5+ years, I'm a veteran!"
16,1,0,0,0,0,1,0,6,4,7,6,5,5,8,Apples,230,Summer,4,"5+ years, I'm a veteran!"
17,1,0,0,0,0,1,1,5,1,3,4,0,3,5,Oranges,661,Fall,1,"None, I just finished my undergrad!"
18,1,1,1,0,0,0,0,4,8,6,5,2,2,6,Oranges,306,Fall,1,"None, I just finished my undergrad!"
19,1,1,0,0,0,1,0,1,6,10,10,1,2,3,Oranges,346,Summer,1,"None, I just finished my undergrad!"
20,1,1,1,0,0,0,0,4,8,6,5,2,1,6,Oranges,0,Fall,1,"None, I just finished my undergrad!"
21,0,0,1,0,0,1,0,1,1,8,7,1,4,4,Oranges,389,Summer,1,"None, I just finished my undergrad!"
22,1,0,1,0,1,1,1,3,3,5,9,5,1,9,Apples,110,Fall,1,"None, I just finished my undergrad!"
23,0,1,1,0,0,1,0,5,6,6,6,7,4,7,Oranges,936,Summer,2,"< 2 years, I'm fresh!"
24,1,1,0,0,0,1,0,1,3,7,7,1,3,5,Oranges,610,Spring,1,"None, I just finished my undergrad!"
25,1,1,1,0,0,0,0,1,6,8,8,1,1,5,Oranges,372,Summer,2,"< 2 years, I'm fresh!"
26,1,0,0,0,0,1,0,7,4,4,4,4,7,8,Oranges,2017,Summer,4,"5+ years, I'm a veteran!"
27,1,1,1,0,0,0,0,1,7,8,6,7,1,5,Oranges,818,Fall,1,"None, I just finished my undergrad!"
28,0,1,1,0,0,1,0,2,6,5,3,5,4,3,Oranges,371,Fall,3,"2-5 years, I'm getting good at what I do!"
29,0,0,0,0,0,1,0,1,1,5,4,1,1,1,Apples,924,Fall,1,"None, I just finished my undergrad!"
30,1,0,0,0,0,1,0,1,2,7,3,1,2,1,Apples,306,Spring,1,"None, I just finished my undergrad!"
31,0,1,0,0,0,1,0,4,4,7,7,5,5,7,Oranges,802,Spring,3,"2-5 years, I'm getting good at what I do!"
32,1,0,1,0,0,0,0,3,7,4,2,3,1,5,Oranges,464,Fall,1,"None, I just finished my undergrad!"
33,1,0,1,0,0,0,0,3,5,4,4,2,4,6,Oranges,623,Fall,4,"5+ years, I'm a veteran!"
34,0,0,0,1,0,1,0,5,3,4,4,4,1,2,Apples,347,Spring,3,"2-5 years, I'm getting good at what I do!"
35,1,1,1,0,1,1,1,8,7,9,9,8,7,7,Oranges,298,Spring,1,"None, I just finished my undergrad!"
36,0,0,0,0,0,0,1,5,4,6,7,2,7,8,Oranges,1052,Spring,4,"5+ years, I'm a veteran!"
37,1,1,0,0,0,0,0,2,3,5,5,1,3,4,Apples,383,Spring,2,"< 2 years, I'm fresh!"
38,1,0,0,0,0,1,1,8,2,3,5,4,9,7,Oranges,853,Winter,4,"5+ years, I'm a veteran!"
39,1,0,1,0,0,1,0,2,6,7,6,6,2,5,Apples,780,Summer,1,"None, I just finished my undergrad!"
40,0,0,0,0,0,1,0,5,3,8,7,3,3,5,Apples,45,Spring,1,"None, I just finished my undergrad!"
41,1,0,1,0,0,1,1,1,2,7,7,1,1,8,Oranges,275,Summer,1,"None, I just finished my undergrad!"
42,1,1,0,1,1,1,0,5,5,5,5,1,3,3,Apples,272,Winter,2,"< 2 years, I'm fresh!"
43,0,1,1,1,0,0,0,1,6,6,4,1,2,6,Apples,341,Summer,2,"< 2 years, I'm fresh!"
44,1,0,1,0,0,1,1,7,6,8,9,8,7,8,Oranges,165,Fall,1,"None, I just finished my undergrad!"
45,1,1,0,0,0,0,0,8,7,8,6,6,4,8,Oranges,535,Fall,1,"None, I just finished my undergrad!"
46,1,0,1,0,0,1,1,6,3,8,9,8,6,8,Oranges,196,Fall,1,"None, I just finished my undergrad!"
47,0,0,1,0,0,1,0,1,8,8,8,1,1,1,Apples,92,Summer,1,"None, I just finished my undergrad!"
48,1,0,0,0,1,1,0,4,5,4,7,7,7,6,Oranges,482,Winter,1,"None, I just finished my undergrad!"
49,1,1,1,0,0,0,0,1,6,6,4,7,1,5,Apples,238,Summer,2,"< 2 years, I'm fresh!"
50,1,1,1,0,0,1,0,5,8,6,5,3,5,5,Oranges,218,Fall,3,"2-5 years, I'm getting good at what I do!"
51,1,1,1,0,1,0,0,6,8,8,8,6,5,8,Oranges,0,Fall,1,"None, I just finished my undergrad!"
52,0,1,1,0,0,0,0,1,7,7,5,1,1,9,Oranges,533,Summer,1,"None, I just finished my undergrad!"
53,1,0,1,0,1,1,0,3,4,6,6,7,5,3,Apples,660,Fall,2,"< 2 years, I'm fresh!"
54,1,0,0,0,0,0,0,4,3,7,8,4,3,6,Apples,887,Fall,3,"2-5 years, I'm getting good at what I do!"
55,1,1,1,0,1,1,0,3,8,8,6,3,7,9,Oranges,610,Spring,1,"None, I just finished my undergrad!"
56,1,0,0,0,0,1,0,3,3,7,8,5,5,6,Oranges,1171,Fall,2,"< 2 years, I'm fresh!"
57,0,0,1,0,0,1,0,3,4,5,3,1,1,7,Oranges,434,Spring,1,"None, I just finished my undergrad!"
58,0,0,0,0,0,0,0,7,1,7,7,2,7,8,Apples,1184,Fall,4,"5+ years, I'm a veteran!"
59,1,0,0,0,0,0,0,4,6,8,8,6,4,5,Oranges,476,Spring,2,"< 2 years, I'm fresh!"
60,1,0,0,0,0,1,0,7,3,2,7,4,3,3,Apples,621,Spring,1,"None, I just finished my undergrad!"
61,0,0,1,0,0,1,1,1,2,5,3,1,3,3,Oranges,340,Summer,1,"None, I just finished my undergrad!"
62,1,1,1,0,0,1,0,4,7,10,9,9,3,4,Apples,264,Fall,2,"< 2 years, I'm fresh!"
63,0,0,1,0,0,1,1,4,2,6,6,3,3,5,Apples,348,Summer,3,"2-5 years, I'm getting good at what I do!"
64,0,0,1,0,0,1,1,2,3,4,8,1,1,1,Apples,327,Fall,1,"None, I just finished my undergrad!"
65,1,1,1,0,0,1,0,2,3,8,8,2,3,6,Apples,824,Summer,1,"None, I just finished my undergrad!"
66,1,1,1,0,0,1,0,2,3,8,8,2,4,2,Apples,0,Summer,1,"None, I just finished my undergrad!"
67,1,1,0,0,0,1,1,7,7,7,7,7,2,3,Apples,14,Summer,1,"None, I just finished my undergrad!"
68,1,0,0,0,0,1,0,4,2,7,4,6,1,6,Oranges,313,Spring,1,"None, I just finished my undergrad!"
69,0,0,0,0,0,1,0,5,2,4,4,6,2,7,Oranges,282,Fall,3,"2-5 years, I'm getting good at what I do!"
70,1,1,1,0,0,0,0,1,8,7,5,8,4,4,Oranges,1878,Summer,3,"2-5 years, I'm getting good at what I do!"
71,1,1,0,0,1,0,0,4,6,4,4,2,4,8,Oranges,1127,Fall,3,"2-5 years, I'm getting good at what I do!"
72,1,0,1,0,0,1,0,3,5,9,7,1,4,8,Apples,370,Summer,1,"None, I just finished my undergrad!"
73,1,0,0,0,0,1,0,1,1,2,3,1,1,5,Oranges,814,Fall,1,"None, I just finished my undergrad!"
74,1,0,0,0,0,1,0,6,3,4,2,1,7,7,Apples,815,Summer,3,"2-5 years, I'm getting good at what I do!"
75,1,1,0,0,0,1,1,7,5,8,8,5,8,8,Apples,104,Fall,1,"None, I just finished my undergrad!"
76,1,1,1,1,0,1,1,2,4,6,8,7,3,3,Oranges,246,Summer,1,"None, I just finished my undergrad!"
77,0,1,0,0,0,0,0,3,4,5,6,1,3,2,Apples,447,Fall,2,"< 2 years, I'm fresh!"
78,1,0,1,0,0,1,0,4,1,8,8,5,2,3,Apples,193,Fall,1,"None, I just finished my undergrad!"
79,1,1,1,0,0,1,0,1,3,6,4,2,1,2,Oranges,1354,Fall,1,"None, I just finished my undergrad!"
80,1,1,0,0,0,1,0,2,2,9,5,3,1,7,Apples,572,Fall,3,"2-5 years, I'm getting good at what I do!"
81,0,1,0,0,0,0,0,4,3,4,4,1,6,10,Apples,900,Summer,3,"2-5 years, I'm getting good at what I do!"
82,1,1,0,0,0,1,0,5,7,9,9,7,5,6,Apples,556,Summer,1,"None, I just finished my undergrad!"
,1,1,1,0,0,0,0,4,6,7,5,4,2,3,Apples,0,Summer,1,"None, I just finished my undergrad!"
,0,0,0,0,0,1,0,6,1,5,5,2,2,3,Apples,1109,Summer,1,"None, I just finished my undergrad!"
,1,1,0,0,0,0,0,5,7,5,5,5,7,7,Apples,0,Spring,3,"2-5 years, I'm getting good at what I do!"
,1,0,0,0,0,1,0,5,3,7,7,2,4,6,Apples,442,Fall,2,"< 2 years, I'm fresh!"
,0,0,1,0,0,1,0,1,1,5,6,2,1,8,Oranges,396,Fall,1,"None, I just finished my undergrad!"
,1,0,1,0,0,0,0,3,7,4,2,3,1,5,Oranges,26,Fall,1,"None, I just finished my undergrad!"
,1,1,0,0,0,1,0,1,2,5,4,1,2,3,Apples,723,Fall,1,"None, I just finished my undergrad!"
,1,0,0,0,0,1,0,5,3,3,3,2,2,5,Apples,1656,Summer,3,"2-5 years, I'm getting good at what I do!"
,1,1,1,0,0,0,1,1,6,7,6,3,2,6,Apples,361,Summer,1,"None, I just finished my undergrad!"
,1,0,0,0,0,0,0,6,3,6,7,6,9,7,Apples,1416,Fall,3,"2-5 years, I'm getting good at what I do!"
,1,0,1,0,0,1,1,4,3,3,3,1,7,7,Oranges,390,Summer,3,"2-5 years, I'm getting good at what I do!"
,1,0,1,0,0,1,0,4,5,7,8,3,4,5,Oranges,520,Spring,1,"None, I just finished my undergrad!"
,1,0,0,0,0,1,1,4,5,7,9,7,9,8,Oranges,1381,Summer,2,"< 2 years, I'm fresh!"
,0,1,1,0,0,0,0,6,8,4,4,4,8,7,Oranges,736,Fall,4,"5+ years, I'm a veteran!"
,1,1,1,0,0,1,1,3,2,4,5,2,2,2,Oranges,486,Summer,1,"None, I just finished my undergrad!"
,1,1,1,0,0,1,1,3,2,4,5,2,2,3,Oranges,0,Summer,1,"None, I just finished my undergrad!"
,1,1,0,0,0,1,0,5,7,8,8,8,3,5,Apples,464,Fall,1,"None, I just finished my undergrad!"
,1,1,1,0,0,1,0,5,8,6,4,2,5,5,Oranges,0,Fall,3,"2-5 years, I'm getting good at what I do!"
,1,1,0,1,1,1,0,5,7,7,4,1,6,8,Oranges,948,Fall,3,"2-5 years, I'm getting good at what I do!"
,1,1,1,0,0,1,0,6,6,8,8,7,5,5,Oranges,137,Fall,1,"None, I just finished my undergrad!"
,0,0,0,0,0,1,0,6,8,8,8,7,6,7,Oranges,559,Spring,4,"5+ years, I'm a veteran!"
,1,1,1,0,1,1,1,5,6,8,8,4,3,5,Oranges,961,Summer,2,"< 2 years, I'm fresh!"
,1,0,1,0,0,1,1,7,3,7,9,7,1,4,Oranges,129,Summer,2,"< 2 years, I'm fresh!"
,1,1,1,0,1,1,0,5,7,5,5,6,1,1,Oranges,0,Fall,1,"None, I just finished my undergrad!"
,1,0,0,0,0,0,0,6,4,10,8,8,4,1,Oranges,221,Fall,2,"< 2 years, I'm fresh!"
,1,1,0,0,0,1,1,3,4,5,6,2,2,3,Apples,590,Summer,1,"None, I just finished my undergrad!"
,1,1,1,0,0,1,1,8,5,6,7,6,5,5,Oranges,178,Fall,1,"None, I just finished my undergrad!"
