id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,len_answer,experience_coded,experience
1,1,1,1,0,0,1,0,8,9,9,9,9,5,9,774,1,"None, I just finished my undergrad!"
2,1,1,1,0,0,0,0,6,8,6,6,6,3,8,1584,1,"None, I just finished my undergrad!"
3,1,0,0,0,0,1,0,5,2,6,7,5,3,7,501,1,"None, I just finished my undergrad!"
4,1,1,0,0,0,1,0,7,5,7,3,3,1,7,528,2,"< 2 years, I'm fresh!"
5,1,0,0,0,1,1,1,7,5,5,6,5,7,7,715,3,"2-5 years, I'm getting good at what I do!"
6,1,0,0,0,0,0,1,8,3,7,8,1,8,8,656,4,"5+ years, I'm a veteran!"
7,1,1,0,0,0,1,0,6,5,7,6,3,3,5,370,1,"None, I just finished my undergrad!"
8,1,1,0,0,0,0,0,6,5,6,7,5,4,10,1088,1,"None, I just finished my undergrad!"
9,1,0,0,0,0,0,0,5,3,6,7,1,5,6,331,2,"< 2 years, I'm fresh!"
10,1,0,1,0,1,0,0,5,7,7,6,6,1,3,245,1,"None, I just finished my undergrad!"
11,1,0,1,0,0,0,0,2,3,2,5,2,1,7,595,4,"5+ years, I'm a veteran!"
12,0,1,0,0,0,0,0,2,3,8,7,5,1,2,371,2,"< 2 years, I'm fresh!"
13,1,0,0,0,0,1,0,8,5,4,4,2,7,7,507,2,"< 2 years, I'm fresh!"
14,0,0,1,0,0,0,0,7,2,8,6,2,4,8,570,3,"2-5 years, I'm getting good at what I do!"
15,1,1,1,0,1,0,0,4,7,8,7,6,6,7,460,3,"2-5 years, I'm getting good at what I do!"
16,1,0,1,0,0,0,0,8,5,8,6,1,5,8,375,3,"2-5 years, I'm getting good at what I do!"
17,1,0,1,0,0,1,0,6,6,7,5,4,4,7,558,2,"< 2 years, I'm fresh!"
18,1,1,1,0,0,1,0,5,5,6,6,3,4,9,788,2,"< 2 years, I'm fresh!"
19,1,0,0,0,0,1,0,6,7,8,8,6,7,8,1315,3,"2-5 years, I'm getting good at what I do!"
20,0,0,0,0,0,0,1,2,1,1,2,1,5,8,442,2,"< 2 years, I'm fresh!"
21,1,0,1,1,0,1,0,5,3,8,8,2,3,7,585,3,"2-5 years, I'm getting good at what I do!"
22,1,1,0,0,0,1,0,8,2,5,8,0,8,7,235,3,"2-5 years, I'm getting good at what I do!"
23,1,0,0,0,0,0,0,3,1,6,6,1,8,9,282,3,"2-5 years, I'm getting good at what I do!"
24,1,0,0,0,0,1,0,4,3,3,3,1,3,5,1304,4,"5+ years, I'm a veteran!"
25,1,0,1,0,0,1,0,6,2,5,8,1,1,7,224,1,"None, I just finished my undergrad!"
26,1,1,0,0,0,1,0,7,3,6,7,6,3,1,421,1,"None, I just finished my undergrad!"
27,0,0,0,0,0,0,0,7,3,3,3,1,9,9,504,4,"5+ years, I'm a veteran!"
28,1,0,1,0,0,1,1,7,3,5,7,3,5,7,497,2,"< 2 years, I'm fresh!"
29,0,0,1,0,0,1,0,1,3,7,5,1,1,5,0,1,"None, I just finished my undergrad!"
30,1,1,0,0,0,1,1,6,3,3,4,2,1,6,715,2,"< 2 years, I'm fresh!"
31,1,0,1,0,1,1,0,2,5,10,8,5,8,9,370,1,"None, I just finished my undergrad!"
32,1,0,0,0,0,0,0,1,3,5,5,1,2,3,242,1,"None, I just finished my undergrad!"
33,1,0,1,0,0,1,0,7,7,8,8,7,3,9,285,1,"None, I just finished my undergrad!"
34,1,0,0,0,0,1,0,8,6,4,3,4,6,10,292,2,"< 2 years, I'm fresh!"
35,1,0,0,0,0,1,0,7,4,8,7,3,7,6,1262,3,"2-5 years, I'm getting good at what I do!"
36,1,0,1,0,0,1,0,4,8,6,3,5,1,2,122,1,"None, I just finished my undergrad!"
37,1,0,0,0,0,0,0,5,2,5,7,3,8,8,274,1,"None, I just finished my undergrad!"
38,1,0,1,0,0,1,0,3,4,7,4,5,1,4,274,1,"None, I just finished my undergrad!"
39,0,0,0,0,0,1,0,7,1,10,10,1,8,5,889,4,"5+ years, I'm a veteran!"
40,0,0,0,0,0,1,0,6,3,5,7,2,7,8,1091,3,"2-5 years, I'm getting good at what I do!"
41,1,0,0,0,0,0,0,6,5,5,4,6,8,8,220,3,"2-5 years, I'm getting good at what I do!"
42,1,1,0,0,0,0,0,4,5,6,6,7,7,6,37,2,"< 2 years, I'm fresh!"
43,1,1,0,0,0,1,0,5,1,6,6,3,3,1,213,2,"< 2 years, I'm fresh!"
44,1,1,1,0,1,1,0,3,10,3,3,3,6,6,698,3,"2-5 years, I'm getting good at what I do!"
45,1,0,0,0,0,1,0,7,6,5,8,3,1,8,548,1,"None, I just finished my undergrad!"
46,1,0,1,0,0,0,0,5,4,3,7,7,3,2,448,2,"< 2 years, I'm fresh!"
47,1,1,1,0,1,1,1,2,4,6,6,2,1,4,280,1,"None, I just finished my undergrad!"
48,1,0,0,0,0,1,0,5,2,6,5,4,2,4,398,1,"None, I just finished my undergrad!"
49,1,1,1,0,0,1,0,3,7,7,8,6,3,8,139,1,"None, I just finished my undergrad!"
50,1,0,0,0,0,1,1,7,2,7,7,3,5,5,191,1,"None, I just finished my undergrad!"
51,1,1,0,0,0,1,0,3,3,7,5,3,5,5,471,1,"None, I just finished my undergrad!"
52,1,0,0,0,0,0,0,5,3,3,3,1,5,8,478,2,"< 2 years, I'm fresh!"
53,1,0,1,0,0,1,1,3,5,7,8,6,6,7,533,1,"None, I just finished my undergrad!"
54,1,0,0,0,0,1,0,5,5,7,7,7,1,4,603,1,"None, I just finished my undergrad!"
55,1,0,0,0,0,1,0,5,5,8,6,1,8,8,468,1,"None, I just finished my undergrad!"
56,1,1,0,0,0,0,0,1,5,6,6,1,5,8,404,3,"2-5 years, I'm getting good at what I do!"
57,1,0,0,0,0,1,0,5,3,8,8,3,8,9,459,2,"< 2 years, I'm fresh!"
58,1,0,0,0,0,0,0,2,2,7,5,1,5,10,447,1,"None, I just finished my undergrad!"
59,0,0,0,0,0,1,0,7,1,8,8,1,6,6,640,1,"None, I just finished my undergrad!"
60,1,1,0,0,1,1,0,7,5,8,8,4,2,7,341,1,"None, I just finished my undergrad!"
61,1,0,1,0,0,1,1,6,5,5,7,7,4,4,430,1,"None, I just finished my undergrad!"
62,1,0,0,0,0,1,0,6,3,5,9,3,8,8,672,2,"< 2 years, I'm fresh!"
