id,cs_python,cs_java,cs_c,cs_sql,cs_r,cs_scala,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,len_answer,experience_coded,experience
1,1,0,0,1,1,0,6,6,4,7,2,4,5,170,3,"2 -5 years, I'm getting good at what I do!"
2,0,1,0,0,1,0,6,6,8,8,2,4,6,0,1,"None, I just finished undergrad!"
3,1,0,0,1,1,0,4,8,7,7,7,6,9,0,1,"None, I just finished undergrad!"
4,1,1,0,1,0,0,5,4,6,6,4,4,5,0,1,"None, I just finished undergrad!"
5,1,1,0,1,1,0,7,7,9,8,7,2,3,0,1,"None, I just finished undergrad!"
6,1,0,1,1,1,0,7,8,8,8,8,3,8,51,1,"None, I just finished undergrad!"
7,1,0,0,0,0,0,3,1,1,3,1,4,4,238,3,"2 -5 years, I'm getting good at what I do!"
8,1,0,0,1,1,0,5,5,8,8,2,2,7,441,1,"None, I just finished undergrad!"
9,1,0,0,1,1,0,6,3,8,8,5,6,7,170,2,"< 2 years, I'm fresh!"
10,1,0,0,0,1,0,5,2,5,5,3,6,6,78,1,"None, I just finished undergrad!"
11,1,0,0,0,0,0,1,2,5,3,2,2,6,19,1,"None, I just finished undergrad!"
12,0,1,0,0,1,0,3,3,3,3,1,1,5,185,3,"2 -5 years, I'm getting good at what I do!"
13,1,1,0,1,1,0,9,7,8,6,7,5,8,142,2,"< 2 years, I'm fresh!"
14,1,0,0,0,0,0,1,4,5,5,3,7,7,242,2,"< 2 years, I'm fresh!"
15,0,0,0,1,1,0,1,1,6,5,1,1,5,58,1,"None, I just finished undergrad!"
16,1,0,0,1,1,0,5,5,5,5,5,5,5,54,1,"None, I just finished undergrad!"
17,1,0,0,1,0,0,3,4,4,3,3,4,4,137,1,"None, I just finished undergrad!"
18,1,0,0,1,0,0,7,7,8,7,5,10,10,96,3,"2 -5 years, I'm getting good at what I do!"
19,1,0,0,1,1,0,5,8,9,8,6,4,5,74,1,"None, I just finished undergrad!"
20,1,0,0,1,0,0,3,3,5,5,3,6,5,62,2,"< 2 years, I'm fresh!"
21,1,0,0,0,1,0,3,3,5,5,3,1,8,43,2,"< 2 years, I'm fresh!"
22,1,0,0,0,1,0,3,3,5,5,3,1,8,43,2,"< 2 years, I'm fresh!"
23,1,0,0,0,0,0,5,6,6,5,6,6,7,79,2,"< 2 years, I'm fresh!"
24,1,1,0,1,1,0,5,7,5,7,4,5,7,469,1,"None, I just finished undergrad!"
25,1,0,1,1,1,0,8,6,6,6,7,7,8,130,3,"2 -5 years, I'm getting good at what I do!"
26,1,0,0,1,1,0,4,5,6,8,6,3,6,151,1,"None, I just finished undergrad!"
27,1,0,0,1,1,0,5,5,6,8,2,5,7,137,1,"None, I just finished undergrad!"
28,1,0,0,1,1,0,7,5,5,6,5,7,7,0,1,"None, I just finished undergrad!"
29,1,0,0,1,1,0,6,7,7,7,7,6,5,88,1,"None, I just finished undergrad!"
30,1,0,0,1,0,0,7,7,5,6,7,7,8,149,3,"2 -5 years, I'm getting good at what I do!"
31,1,0,0,1,0,0,4,6,7,5,2,3,7,67,3,"2 -5 years, I'm getting good at what I do!"
32,1,1,0,0,1,0,7,8,8,6,5,3,6,111,1,"None, I just finished undergrad!"
33,1,0,0,0,0,0,7,6,8,7,7,5,8,59,1,"None, I just finished undergrad!"
34,1,0,0,1,1,0,3,6,5,7,1,1,8,215,1,"None, I just finished undergrad!"
35,1,1,1,0,0,0,3,7,7,6,4,4,9,304,1,"None, I just finished undergrad!"
36,0,1,0,1,0,0,3,4,5,5,3,5,5,137,1,"None, I just finished undergrad!"
37,1,0,0,1,0,0,1,5,2,2,1,2,5,207,3,"2 -5 years, I'm getting good at what I do!"
38,1,0,0,1,1,0,4,2,7,6,2,7,6,90,1,"None, I just finished undergrad!"
39,1,0,0,0,0,0,5,5,7,6,3,3,7,100,3,"2 -5 years, I'm getting good at what I do!"
40,1,1,0,0,0,0,8,7,6,4,9,9,9,105,2,"< 2 years, I'm fresh!"
41,1,1,0,0,1,0,6,7,7,6,3,3,4,106,1,"None, I just finished undergrad!"
42,0,0,0,0,1,0,5,5,6,4,1,1,7,139,3,"2 -5 years, I'm getting good at what I do!"
43,1,0,0,0,0,0,2,3,3,2,1,6,5,103,3,"2 -5 years, I'm getting good at what I do!"
44,1,1,0,1,1,0,6,7,6,9,8,6,9,107,2,"< 2 years, I'm fresh!"
45,1,0,0,1,0,0,7,5,7,7,4,6,6,126,1,"None, I just finished undergrad!"
46,1,0,0,1,1,0,5,8,9,10,8,4,8,76,1,"None, I just finished undergrad!"
47,1,0,0,1,1,0,7,5,8,7,6,2,3,188,1,"None, I just finished undergrad!"
48,1,1,0,1,1,0,6,7,4,4,3,2,8,146,2,"< 2 years, I'm fresh!"
49,1,0,0,0,1,0,6,6,8,6,6,1,5,170,1,"None, I just finished undergrad!"
50,1,0,0,1,0,0,6,5,6,6,4,5,6,78,1,"None, I just finished undergrad!"
51,1,1,0,1,0,0,7,4,5,5,5,8,7,148,3,"2 -5 years, I'm getting good at what I do!"
52,1,0,0,1,0,0,2,2,4,4,1,5,10,75,2,"< 2 years, I'm fresh!"
53,1,0,1,1,1,0,6,8,6,8,,8,7,53,1,"None, I just finished undergrad!"
54,1,0,0,1,1,0,7,7,5,6,7,7,7,93,2,"< 2 years, I'm fresh!"
55,1,0,1,1,0,0,3,3,5,3,1,10,10,212,2,"< 2 years, I'm fresh!"
56,1,1,0,1,0,0,6,7,5,5,4,3,7,130,1,"None, I just finished undergrad!"
57,1,1,1,1,0,0,7,8,8,8,8,5,5,76,3,"2 -5 years, I'm getting good at what I do!"
58,1,1,0,0,0,0,8,6,6,7,6,8,8,91,1,"None, I just finished undergrad!"
59,1,0,0,1,0,0,7,6,7,6,1,8,8,71,1,"None, I just finished undergrad!"
60,0,0,0,0,1,0,6,4,8,9,3,3,6,247,1,"None, I just finished undergrad!"
61,1,1,0,0,0,0,5,4,8,8,5,1,5,189,1,"None, I just finished undergrad!"
62,1,0,0,1,1,0,6,7,6,5,7,6,6,142,3,"2 -5 years, I'm getting good at what I do!"
63,0,0,0,1,1,0,3,3,5,8,6,4,7,155,1,"None, I just finished undergrad!"
64,1,0,0,0,0,0,6,6,3,3,5,7,7,183,3,"2 -5 years, I'm getting good at what I do!"
65,1,0,0,1,1,0,6,3,7,8,6,9,8,140,1,"None, I just finished undergrad!"
66,1,0,0,0,0,0,1,3,3,3,1,5,6,120,4,"5+ years, I'm a veteran DS!"
67,0,0,0,1,1,0,7,5,5,5,3,8,8,99,3,"2 -5 years, I'm getting good at what I do!"
68,1,0,0,1,0,0,3,6,6,6,6,4,5,201,1,"None, I just finished undergrad!"
69,0,0,0,1,0,0,7,3,7,6,1,7,7,75,3,"2 -5 years, I'm getting good at what I do!"
70,1,1,0,0,0,0,8,8,9,7,8,5,4,133,2,"< 2 years, I'm fresh!"
71,1,0,0,1,1,0,4,4,9,9,8,5,8,18,1,"None, I just finished undergrad!"
72,1,0,1,1,1,0,5,6,8,6,8,3,9,285,2,"< 2 years, I'm fresh!"
73,1,0,0,0,0,0,3,9,7,7,2,5,7,1750,3,"2 -5 years, I'm getting good at what I do!"
74,1,1,1,1,1,0,7,8,9,9,8,4,7,130,1,"None, I just finished undergrad!"
75,1,1,0,1,1,0,3,3,3,2,1,1,7,343,1,"None, I just finished undergrad!"
76,0,0,0,0,0,0,9,2,6,4,2,10,10,56,4,"5+ years, I'm a veteran DS!"
77,0,0,0,1,0,0,5,2,6,3,1,7,7,98,3,"2 -5 years, I'm getting good at what I do!"
78,1,1,0,1,1,0,5,7,7,8,7,5,5,69,1,"None, I just finished undergrad!"
79,1,0,0,0,1,0,2,2,5,6,2,5,5,144,1,"None, I just finished undergrad!"
80,1,1,1,1,1,0,8,8,8,8,8,7,7,45,1,"None, I just finished undergrad!"
81,1,0,0,1,1,0,6,6,5,6,5,3,5,379,3,"2 -5 years, I'm getting good at what I do!"
82,1,0,0,1,0,0,3,4,6,6,6,8,8,99,1,"None, I just finished undergrad!"
83,1,0,0,0,1,0,2,6,7,8,5,9,8,241,4,"5+ years, I'm a veteran DS!"
84,1,0,0,1,1,0,1,5,8,6,1,2,3,85,1,"None, I just finished undergrad!"
85,1,1,0,1,0,0,4,5,3,3,1,3,5,18,1,"None, I just finished undergrad!"
86,0,0,0,0,1,0,5,5,7,6,2,4,4,138,2,"< 2 years, I'm fresh!"
87,0,0,0,1,1,0,9,3,9,9,8,8,7,0,1,"None, I just finished undergrad!"
88,1,0,0,0,1,0,3,3,9,9,3,6,6,83,1,"None, I just finished undergrad!"
89,1,0,0,0,1,0,1,5,9,9,4,2,5,253,1,"None, I just finished undergrad!"
90,1,0,0,1,0,0,6,8,8,6,8,6,7,340,3,"2 -5 years, I'm getting good at what I do!"
91,1,0,0,0,1,0,3,3,4,6,5,7,6,198,1,"None, I just finished undergrad!"
92,1,0,0,1,0,0,6,5,7,7,7,4,6,70,2,"< 2 years, I'm fresh!"
93,1,0,1,1,1,0,8,5,10,10,5,1,6,115,1,"None, I just finished undergrad!"
94,1,0,1,1,1,0,5,5,8,8,6,1,8,50,1,"None, I just finished undergrad!"
95,1,0,1,0,1,0,8,8,8,8,5,1,6,0,1,"None, I just finished undergrad!"
96,1,1,0,1,1,0,5,4,7,7,4,1,6,183,1,"None, I just finished undergrad!"
97,1,0,0,0,1,0,4,4,5,4,1,3,5,239,3,"2 -5 years, I'm getting good at what I do!"
98,1,0,0,1,1,0,4,2,4,6,5,3,3,89,1,"None, I just finished undergrad!"
99,1,0,0,0,0,0,1,3,3,3,1,5,5,126,4,"5+ years, I'm a veteran DS!"
100,1,0,0,0,0,0,3,7,7,7,6,7,7,90,1,"None, I just finished undergrad!"
101,1,0,0,0,0,0,6,7,7,7,5,5,9,112,3,"2 -5 years, I'm getting good at what I do!"
102,1,1,0,1,0,0,2,5,5,5,4,6,6,171,1,"None, I just finished undergrad!"
103,1,0,0,0,0,0,3,3,6,6,5,4,5,112,1,"None, I just finished undergrad!"
104,1,1,1,0,0,0,6,9,9,7,9,5,5,62,3,"2 -5 years, I'm getting good at what I do!"
105,1,0,0,1,1,0,7,6,7,7,4,7,8,552,3,"2 -5 years, I'm getting good at what I do!"
106,1,1,0,0,0,0,6,5,8,8,5,3,6,163,1,"None, I just finished undergrad!"
107,1,0,0,0,0,0,2,3,7,2,3,3,3,218,1,"None, I just finished undergrad!"
108,1,1,0,1,1,0,6,7,8,8,8,5,5,143,1,"None, I just finished undergrad!"
109,1,0,0,1,1,0,7,7,6,7,7,8,10,87,3,"2 -5 years, I'm getting good at what I do!"
110,0,0,0,1,0,0,8,3,7,8,1,9,9,417,3,"2 -5 years, I'm getting good at what I do!"
111,1,0,0,1,1,0,7,9,9,9,6,5,10,59,2,"< 2 years, I'm fresh!"
112,0,0,0,0,1,0,2,2,5,5,1,7,7,173,1,"None, I just finished undergrad!"
113,1,0,0,1,1,0,6,6,8,8,4,4,8,117,3,"2 -5 years, I'm getting good at what I do!"
114,1,0,0,0,0,0,1,1,10,7,1,1,10,44,1,"None, I just finished undergrad!"
115,1,0,1,0,0,0,1,5,7,7,5,4,6,87,1,"None, I just finished undergrad!"
116,1,1,0,1,0,0,5,9,7,7,6,1,6,114,1,"None, I just finished undergrad!"
117,1,1,1,1,1,0,2,6,8,5,6,5,7,53,1,"None, I just finished undergrad!"
118,1,0,0,1,1,0,1,5,9,7,7,1,2,0,1,"None, I just finished undergrad!"
119,1,0,0,1,1,0,6,7,8,7,5,2,5,53,1,"None, I just finished undergrad!"
120,1,0,0,0,1,0,5,5,5,5,5,5,4,0,2,"< 2 years, I'm fresh!"
121,1,0,0,0,0,0,6,6,8,8,4,7,8,47,2,"< 2 years, I'm fresh!"
122,1,0,0,0,0,0,6,5,6,6,6,6,6,44,1,"None, I just finished undergrad!"
123,1,0,1,1,0,0,6,6,9,7,7,9,8,110,3,"2 -5 years, I'm getting good at what I do!"
124,1,0,0,0,1,0,5,7,7,7,1,1,7,43,3,"2 -5 years, I'm getting good at what I do!"
125,1,1,0,1,0,0,4,6,6,5,4,4,5,72,1,"None, I just finished undergrad!"
126,1,0,1,0,1,0,2,3,4,4,2,1,4,69,1,"None, I just finished undergrad!"
127,1,0,0,0,0,0,3,3,3,1,2,5,7,48,2,"< 2 years, I'm fresh!"
128,0,0,1,1,0,0,1,4,4,3,1,1,4,62,3,"2 -5 years, I'm getting good at what I do!"
129,1,1,0,1,0,0,7,8,8,8,8,5,7,196,1,"None, I just finished undergrad!"
130,1,1,0,0,1,0,6,4,6,5,3,2,9,92,1,"None, I just finished undergrad!"
131,1,0,0,1,1,0,7,6,6,4,6,7,7,125,3,"2 -5 years, I'm getting good at what I do!"
132,1,0,1,1,0,0,2,7,7,8,5,1,5,76,1,"None, I just finished undergrad!"
133,1,0,0,0,0,0,7,7,7,7,5,8,8,80,3,"2 -5 years, I'm getting good at what I do!"
134,1,1,1,1,0,0,6,7,8,8,7,8,8,125,2,"< 2 years, I'm fresh!"
